"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"6136","2719","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5225","34","NA","B2","150 HOLLY AVENUE"," ","10308","2","0","2","4315","2496","1965","1","B2","575000","2016-11-15","230.36858974359","Staten Island","150 HOLLY AVENUE, Staten Island, 10308 - New York","8955","-74.1542657","40.547066"
"6137","2720","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5226","112","NA","B2","4234 AMBOY ROAD"," ","10308","2","0","2","4915","2430","2006","1","B2","650000","2016-10-13","267.489711934156","Staten Island","4234 AMBOY ROAD, Staten Island, 10308 - New York","8956","-74.1568375","40.5469298"
"6138","2722","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5233","46","NA","B2","436 ARMSTRONG AVENUE"," ","10308","2","0","2","4750","1530","1960","1","B2","555000","2016-10-07","362.745098039216","Staten Island","436 ARMSTRONG AVENUE, Staten Island, 10308 - New York","8957","-74.1568949","40.5440266"
"6139","2726","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5247","14","NA","B1","4 EDGEWOOD ROAD"," ","10308","2","0","2","4248","1736","1960","1","B1","540000","2016-12-06","311.059907834101","Staten Island","4 EDGEWOOD ROAD, Staten Island, 10308 - New York","8958","-74.148881","40.5450643"
"6140","2734","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5265","104","NA","B2","237 PACIFIC AVENUE"," ","10312","2","0","2","3250","1450","2005","1","B2","636000","2016-12-09","438.620689655172","Staten Island","237 PACIFIC AVENUE, Staten Island, 10312 - New York","8959","-74.1574649","40.5411848"
"6141","2737","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5268","174","NA","B9","169 RIDGECREST AVENUE"," ","10312","2","0","2","2625","2085","1991","1","B9","540000","2016-11-30","258.992805755396","Staten Island","169 RIDGECREST AVENUE, Staten Island, 10312 - New York","8960","-74.1580481","40.5379091"
"6142","2746","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5286","67","NA","B3","159 ROBINSON AVENUE"," ","10312","2","0","2","4000","2000","1960","1","B3","625000","2016-10-25","312.5","Staten Island","159 ROBINSON AVENUE, Staten Island, 10312 - New York","8961","-74.1519965","40.5382218"
"6143","2751","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5306","58","NA","B3","214 WIMAN AVENUE"," ","10308","2","0","2","3375","1480","1945","1","B3","380837","2016-10-06","257.322297297297","Staten Island","214 WIMAN AVENUE, Staten Island, 10308 - New York","8963","-74.1452671","40.5389389"
"6144","2752","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5310","49","NA","B9","76 GLOVER STREET"," ","10308","2","0","2","2500","1770","1988","1","B9","405000","2016-11-08","228.813559322034","Staten Island","76 GLOVER STREET, Staten Island, 10308 - New York","8964","-74.1466868","40.5376522"
"6145","2753","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5313","43","NA","B9","276 TENNYSON DRIVE"," ","10308","2","0","2","2660","1966","1987","1","B9","555000","2016-10-03","282.299084435402","Staten Island","276 TENNYSON DRIVE, Staten Island, 10308 - New York","8965","-74.1461513","40.5365959"
"6146","2756","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5317","36","NA","B2","44 GROTON STREET"," ","10312","2","0","2","4930","1990","1970","1","B2","565000","2016-11-10","283.91959798995","Staten Island","44 GROTON STREET, Staten Island, 10312 - New York","8966","-74.1491768","40.5355347"
"6147","2761","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5442","12","NA","B9","25 WOODLAND AVENUE"," ","10308","2","0","2","2450","1440","2004","1","B9","478000","2016-12-09","331.944444444444","Staten Island","25 WOODLAND AVENUE, Staten Island, 10308 - New York","8967","-74.1529171","40.5549989"
"6148","2764","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5445","5","NA","B2","309 DOANE AVENUE"," ","10308","2","0","2","4000","2218","1977","1","B2","650000","2016-09-06","293.056807935077","Staten Island","309 DOANE AVENUE, Staten Island, 10308 - New York","8969","-74.1560496","40.5571848"
"6149","2765","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5445","59","NA","B2","320 ELVERTON AVENUE"," ","10308","2","0","2","4000","2218","1977","1","B2","50000","2016-11-01","22.5428313796213","Staten Island","320 ELVERTON AVENUE, Staten Island, 10308 - New York","8970","-74.1554776","40.5574531"
"6150","2780","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5463","34","NA","B9","262 LAMOKA AVENUE"," ","10308","2","0","2","3366","1320","1970","1","B9","490000","2016-11-30","371.212121212121","Staten Island","262 LAMOKA AVENUE, Staten Island, 10308 - New York","8972","-74.15956","40.549352"
"6151","2784","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5470","20","NA","B2","40 EAST SCRANTON AVENUE"," ","10308","2","0","2","4000","1400","1965","1","B2","550000","2016-09-28","392.857142857143","Staten Island","40 EAST SCRANTON AVENUE, Staten Island, 10308 - New York","8973","-74.1593862","40.5545793"
"6152","2788","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5472","21","NA","B2","410 LEVERETT AVENUE"," ","10308","2","0","2","4100","1712","1970","1","B2","625000","2016-12-27","365.070093457944","Staten Island","410 LEVERETT AVENUE, Staten Island, 10308 - New York","8974","-74.1598511","40.5559915"
"6153","2793","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5480","17","NA","B9","127 DEMOPOLIS AVENUE"," ","10308","2","0","2","3406","1204","1975","1","B9","600000","2016-10-27","498.338870431894","Staten Island","127 DEMOPOLIS AVENUE, Staten Island, 10308 - New York","8975","-74.160533","40.547892"
"6154","2794","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5480","34","NA","B2","103 DEMOPOLIS AVENUE"," ","10308","2","0","2","3897","2200","1975","1","B2","425000","2016-12-09","193.181818181818","Staten Island","103 DEMOPOLIS AVENUE, Staten Island, 10308 - New York","8976","-74.1610199","40.5485208"
"6155","2807","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5494","7","NA","B2","417 RIDGEWOOD AVENUE"," ","10312","2","0","2","3000","2220","1970","1","B2","535000","2016-12-21","240.990990990991","Staten Island","417 RIDGEWOOD AVENUE, Staten Island, 10312 - New York","8977","-74.165391","40.5579139"
"6156","2809","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5497","231","NA","B2","276 WILSON AVENUE"," ","10308","2","0","2","3925","1800","1996","1","B2","580000","2016-09-15","322.222222222222","Staten Island","276 WILSON AVENUE, Staten Island, 10308 - New York","8978","-74.1607209","40.5470859"
"6157","2810","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5515","49","NA","B2","104 BARTLETT AVE"," ","10312","2","0","2","4000","2070","1970","1","B2","565000","2016-11-16","272.946859903382","Staten Island","104 BARTLETT AVE, Staten Island, 10312 - New York","8979","-74.1665132","40.5502042"
"6158","2811","5","GREAT KILLS","02 TWO FAMILY DWELLINGS                    ","1","5518","22","NA","B2","277 ELTINGVILLE BLVD"," ","10312","2","0","2","3800","2824","1985","1","B2","657500","2016-11-03","232.825779036827","Staten Island","277 ELTINGVILLE BLVD, Staten Island, 10312 - New York","8980","-74.1659326","40.551908"
"6159","2922","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","4698","3","NA","A5","49 FAIRBANKS AVENUE"," ","10306","1","0","1","2500","1448","1965","1","A5","460000","2016-09-30","317.67955801105","Staten Island","49 FAIRBANKS AVENUE, Staten Island, 10306 - New York","8982","-74.131645","40.5621737"
"6160","2926","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","4960","26","NA","A5","10 EMMET AVENUE"," ","10306","1","0","1","1900","1176","1965","1","A5","415000","2016-11-29","352.891156462585","Staten Island","10 EMMET AVENUE, Staten Island, 10306 - New York","8983","-74.133792","40.561174"
"6161","2931","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5015","81","NA","A5","9 JUSTIN AVENUE"," ","10306","1","0","1","2400","1230","1985","1","A5","436000","2016-09-09","354.471544715447","Staten Island","9 JUSTIN AVENUE, Staten Island, 10306 - New York","8984","-74.136844","40.557899"
"6162","2939","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5090","62","NA","A5","3528E AMBOY ROAD"," ","10306","1","0","1","1040","1360","1987","1","A5","374000","2016-09-06","275","Staten Island","3528E AMBOY ROAD, Staten Island, 10306 - New York","8987","-74.1395288","40.5554034"
"6163","2943","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5094","49","NA","A5","63 REDGRAVE AVENUE"," ","10306","1","0","1","2300","1176","1967","1","A5","430000","2016-12-29","365.646258503401","Staten Island","63 REDGRAVE AVENUE, Staten Island, 10306 - New York","8988","-74.137129","40.553697"
"6164","2945","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5095","46","NA","A5","21 BARTOW STREET"," ","10308","1","0","1","2600","1520","1975","1","A5","475000","2016-12-22","312.5","Staten Island","21 BARTOW STREET, Staten Island, 10308 - New York","8989","-74.1391047","40.5542373"
"6165","2949","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5099","44","NA","A1","11 CRANFORD STREET"," ","10308","1","0","1","4000","2124","1975","1","A1","727650","2016-10-26","342.584745762712","Staten Island","11 CRANFORD STREET, Staten Island, 10308 - New York","8990","-74.1407612","40.5532191"
"6166","2956","5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS                    ","1","5115","24","NA","A1","20 TRENT STREET"," ","10308","1","0","1","4000","1560","1960","1","A1","535000","2016-10-27","342.948717948718","Staten Island","20 TRENT STREET, Staten Island, 10308 - New York","8992","-74.1405791","40.5509794"
"6167","2961","5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS                    ","1","4973","13","NA","B2","56 TWOMBLY AVENUE"," ","10306","2","0","2","6000","3200","1970","1","B2","380000","2016-12-14","118.75","Staten Island","56 TWOMBLY AVENUE, Staten Island, 10306 - New York","8993","-74.1326392","40.5586717"
"6168","2965","5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS                    ","1","5024","19","NA","B2","55 KELVIN AVENUE"," ","10306","2","0","2","4576","2444","1965","1","B2","780000","2016-12-14","319.148936170213","Staten Island","55 KELVIN AVENUE, Staten Island, 10306 - New York","8995","-74.1352687","40.5551862"
"6169","2976","5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS                    ","1","5099","9","NA","B2","6 AINSWORTH AVENUE"," ","10308","2","0","2","4360","2600","1975","1","B2","290000","2016-09-19","111.538461538462","Staten Island","6 AINSWORTH AVENUE, Staten Island, 10308 - New York","8996","-74.1402523","40.5538469"
"6170","2978","5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS                    ","1","5102","1","NA","B2","63 KEEGANS LANE"," ","10308","2","0","2","10206","1916","1955","1","B2","587000","2016-10-31","306.367432150313","Staten Island","63 KEEGANS LANE, Staten Island, 10308 - New York","8997","-74.1406021","40.5518847"
"6171","2979","5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS                    ","1","5113","1","NA","B2","46 KEATS STREET"," ","10308","2","0","2","4410","2520","1970","1","B2","715000","2016-10-20","283.730158730159","Staten Island","46 KEATS STREET, Staten Island, 10308 - New York","8998","-74.1429112","40.5515465"
"6172","2995","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","587","63","NA","A1","96 LOUIS STREET"," ","10304","1","0","1","28800","3993","1901","1","A1","900000","2016-09-01","225.394440270473","Staten Island","96 LOUIS STREET, Staten Island, 10304 - New York","8999","-74.0853933","40.6294424"
"6173","2996","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","587","100","NA","A2","78 SUNRISE TERRACE"," ","10304","1","0","1","9750","1348","1960","1","A2","560000","2016-12-09","415.430267062315","Staten Island","78 SUNRISE TERRACE, Staten Island, 10304 - New York","9000","-74.0867044","40.6281313"
"6174","3002","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","593","33","NA","A1","18 THERESA PLACE"," ","10301","1","0","1","4000","1304","1915","1","A1","470000","2016-09-09","360.429447852761","Staten Island","18 THERESA PLACE, Staten Island, 10301 - New York","9001","-74.093368","40.623891"
"6175","3007","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","614","85","NA","A3","60 HOWARD CIRCLE"," ","10301","1","0","1","13952","5232","1991","1","A3","1950000","2016-12-16","372.706422018349","Staten Island","60 HOWARD CIRCLE, Staten Island, 10301 - New York","9002","-74.086614","40.625883"
"6176","3010","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","617","1","NA","A1","5 WOODSIDE AVENUE"," ","10304","1","0","1","7054","1528","2014","1","A1","962246","2016-12-15","629.742146596859","Staten Island","5 WOODSIDE AVENUE, Staten Island, 10304 - New York","9003","-74.0871559","40.619084"
"6177","3021","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","622","104","NA","A2","976 VAN DUZER STREET"," ","10304","1","0","1","5424","864","1930","1","A2","320000","2016-11-17","370.37037037037","Staten Island","976 VAN DUZER STREET, Staten Island, 10304 - New York","9004","-74.0877763","40.6154293"
"6178","3022","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","623","245","NA","A2","41 CEDAR TERRACE"," ","10304","1","0","1","4000","960","1965","1","A2","530000","2016-09-27","552.083333333333","Staten Island","41 CEDAR TERRACE, Staten Island, 10304 - New York","9005","-74.0889585","40.6140176"
"6179","3023","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","627","14","NA","A2","84 CEDAR TERRACE"," ","10304","1","0","1","6500","1176","1950","1","A2","645000","2016-11-17","548.469387755102","Staten Island","84 CEDAR TERRACE, Staten Island, 10304 - New York","9006","-74.089454","40.613047"
"6180","3025","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","630","155","NA","A2","28 STARLIGHT ROAD"," ","10301","1","0","1","12804","1380","1960","1","A2","644500","2016-10-26","467.028985507246","Staten Island","28 STARLIGHT ROAD, Staten Island, 10301 - New York","9007","-74.093544","40.6121148"
"6181","3027","5","GRYMES HILL","01 ONE FAMILY DWELLINGS                    ","1","631","113","NA","A2","142 LONGVIEW ROAD"," ","10301","1","0","1","8400","2598","1955","1","A2","670000","2016-10-17","257.890685142417","Staten Island","142 LONGVIEW ROAD, Staten Island, 10301 - New York","9008","-74.092651","40.6110251"
"6182","3029","5","GRYMES HILL","02 TWO FAMILY DWELLINGS                    ","1","614","144","NA","B2","630 VAN DUZER STREET"," ","10304","2","0","2","6000","2228","1920","1","B2","500000","2016-12-28","224.416517055655","Staten Island","630 VAN DUZER STREET, Staten Island, 10304 - New York","9009","-74.0850053","40.6243252"
"6183","3039","5","GRYMES HILL","02 TWO FAMILY DWELLINGS                    ","1","622","29","NA","B2","55 WANDELL AVENUE"," ","10304","2","0","2","5850","1856","1910","1","B2","350000","2016-11-22","188.577586206897","Staten Island","55 WANDELL AVENUE, Staten Island, 10304 - New York","9010","-74.0877754","40.6149389"
"6184","3070","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6332","124","NA","A1","65 COMFORT COURT"," ","10312","1","0","1","4050","1775","2002","1","A1","700000","2016-11-07","394.366197183099","Staten Island","65 COMFORT COURT, Staten Island, 10312 - New York","9011","-74.189883","40.533762"
"6185","3072","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6336","35","NA","A1","180 NIPPON AVENUE"," ","10312","1","0","1","10000","4280","1980","1","A1","905000","2016-10-06","211.448598130841","Staten Island","180 NIPPON AVENUE, Staten Island, 10312 - New York","9012","-74.1930224","40.5395926"
"6186","3076","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6338","54","NA","A2","577 RATHBUN AVENUE"," ","10312","1","0","1","4000","1865","1975","1","A2","580000","2016-10-20","310.991957104558","Staten Island","577 RATHBUN AVENUE, Staten Island, 10312 - New York","9013","-74.1947824","40.5401126"
"6187","3085","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6552","20","NA","A1","15 LOUISE STREET"," ","10312","1","0","1","5734","3026","2007","1","A1","940000","2016-12-15","310.641110376735","Staten Island","15 LOUISE STREET, Staten Island, 10312 - New York","9016","-74.1829686","40.5278558"
"6188","3087","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6559","84","NA","A3","26 CHRISTINE COURT"," ","10312","1","0","1","15000","5840","1987","1","A3","990000","2016-11-03","169.520547945205","Staten Island","26 CHRISTINE COURT, Staten Island, 10312 - New York","9017","-74.1854289","40.5316506"
"6189","3088","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6561","11","NA","A1","15 ROSE LANE"," ","10312","1","0","1","2975","1496","1985","1","A1","680000","2016-11-18","454.545454545455","Staten Island","15 ROSE LANE, Staten Island, 10312 - New York","9018","-74.1871088","40.5334624"
"6190","3095","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6581","39","NA","A2","1048 HUGUENOT AVENUE"," ","10312","1","0","1","5500","1288","1960","1","A2","475000","2016-10-20","368.788819875776","Staten Island","1048 HUGUENOT AVENUE, Staten Island, 10312 - New York","9019","-74.1895191","40.5288055"
"6191","3098","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6815","196","NA","A1","26 HAWLEY AVENUE"," ","10312","1","0","1","3880","1828","1965","1","A1","524900","2016-10-31","287.144420131291","Staten Island","26 HAWLEY AVENUE, Staten Island, 10312 - New York","9020","-74.1933391","40.5330643"
"6192","3099","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6816","37","NA","A2","466 ELLSWORTH AVENUE"," ","10312","1","0","1","7571","934","1970","1","A2","10000","2016-09-23","10.7066381156317","Staten Island","466 ELLSWORTH AVENUE, Staten Island, 10312 - New York","9021","-74.1948259","40.5322553"
"6193","3102","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6822","7","NA","A1","87 WEST TERRACE"," ","10312","1","0","1","4000","2046","1970","1","A1","635000","2016-10-06","310.361681329423","Staten Island","87 WEST TERRACE, Staten Island, 10312 - New York","9022","-74.1956763","40.5328986"
"6194","3104","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6828","36","NA","A1","268 DARLINGTON AVE"," ","10312","1","0","1","5495","2364","2004","1","A1","205000","2016-10-04","86.7174280879865","Staten Island","268 DARLINGTON AVE, Staten Island, 10312 - New York","9023","-74.1944178","40.5364185"
"6195","3105","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6828","36","NA","A1","268 DARLINGTON AVE"," ","10312","1","0","1","5495","2364","2004","1","A1","205000","2016-10-04","86.7174280879865","Staten Island","268 DARLINGTON AVE, Staten Island, 10312 - New York","9024","-74.1944178","40.5364185"
"6196","3109","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6838","19","NA","A2","768 LAMONT AVENUE"," ","10312","1","0","1","4200","2052","1974","1","A2","655000","2016-12-28","319.200779727095","Staten Island","768 LAMONT AVENUE, Staten Island, 10312 - New York","9025","-74.1989273","40.5374444"
"6197","3111","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6839","23","NA","A2","408 RAMONA AVENUE"," ","10312","1","0","1","4410","2087","1976","1","A2","500000","2016-10-12","239.578342117873","Staten Island","408 RAMONA AVENUE, Staten Island, 10312 - New York","9026","-74.1989421","40.5382036"
"6198","3112","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6839","60","NA","A2","763 LAMONT AVENUE"," ","10312","1","0","1","3990","2087","1974","1","A2","625000","2016-09-16","299.472927647341","Staten Island","763 LAMONT AVENUE, Staten Island, 10312 - New York","9027","-74.1987501","40.5374923"
"6199","3116","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6842","29","NA","A2","718 SHELDON AVENUE"," ","10312","1","0","1","4142","2042","1970","1","A2","550000","2016-12-14","269.343780607248","Staten Island","718 SHELDON AVENUE, Staten Island, 10312 - New York","9028","-74.1993926","40.5403422"
"6200","3121","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6846","37","NA","A2","1074 WOODROW ROAD"," ","10312","1","0","1","6040","2510","1978","1","A2","610000","2016-11-09","243.027888446215","Staten Island","1074 WOODROW ROAD, Staten Island, 10312 - New York","9029","-74.2005354","40.5427572"
"6201","3133","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6881","45","NA","A2","871 LAMONT AVENUE"," ","10309","1","0","1","14100","6440","1975","1","A2","1135000","2016-11-09","176.242236024845","Staten Island","871 LAMONT AVENUE, Staten Island, 10309 - New York","9030","-74.2029204","40.5363285"
"6202","3134","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6881","57","NA","A2","893 LAMONT AVENUE"," ","10309","1","0","1","10000","3004","1975","1","A2","840000","2016-09-06","279.627163781625","Staten Island","893 LAMONT AVENUE, Staten Island, 10309 - New York","9031","-74.2037484","40.5361001"
"6203","3139","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6888","28","NA","A5","862 SINCLAIR AVENUE"," ","10309","1","0","1","2000","1120","1985","1","A5","435000","2016-12-27","388.392857142857","Staten Island","862 SINCLAIR AVENUE, Staten Island, 10309 - New York","9032","-74.2046937","40.5396491"
"6204","3140","5","HUGUENOT","01 ONE FAMILY DWELLINGS                    ","1","6888","45","NA","A5","849 SHELDON AVENUE"," ","10309","1","0","1","1860","1480","1985","1","A5","20000","2016-09-22","13.5135135135135","Staten Island","849 SHELDON AVENUE, Staten Island, 10309 - New York","9033","-74.2038807","40.539085"
"6205","3148","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6309","71","NA","B2","257 NIPPON AVENUE"," ","10312","2","0","2","6000","2096","1973","1","B2","700000","2016-10-12","333.969465648855","Staten Island","257 NIPPON AVENUE, Staten Island, 10312 - New York","9034","-74.1915738","40.5376867"
"6206","3154","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6317","28","NA","B2","130 DELMAR AVENUE"," ","10312","2","0","2","4000","2259","1985","1","B2","672000","2016-11-03","297.476759628154","Staten Island","130 DELMAR AVENUE, Staten Island, 10312 - New York","9035","-74.1920395","40.5437565"
"6207","3159","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6324","216","NA","B2","337 SOUTH RAILROAD ST"," ","10312","2","0","2","11900","2846","1986","1","B2","750000","2016-10-14","263.527758257203","Staten Island","337 SOUTH RAILROAD ST, Staten Island, 10312 - New York","9036","-74.1874935","40.53657"
"6208","3170","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6585","26","NA","S2","5484 AMBOY ROAD"," ","10312","2","1","3","9025","2711","1931","1","S2","850000","2016-11-07","313.537440059019","Staten Island","5484 AMBOY ROAD, Staten Island, 10312 - New York","9037","-74.1921246","40.5315346"
"6209","3173","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6820","53","NA","B2","30 ASHLAND AVENUE EAST"," ","10312","2","0","2","4000","2424","1975","1","B2","610000","2016-09-27","251.650165016502","Staten Island","30 ASHLAND AVENUE EAST, Staten Island, 10312 - New York","9038","-74.1958953","40.532091"
"6210","3174","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6820","61","NA","B2","14 ASHLAND AVENUE EAST"," ","10312","2","0","2","4000","2424","1975","1","B2","325000","2016-10-20","134.075907590759","Staten Island","14 ASHLAND AVENUE EAST, Staten Island, 10312 - New York","9039","-74.195395","40.5322234"
"6211","3181","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6873","6","NA","B2","419 DARLINGTON AVENUE"," ","10309","2","0","2","4300","2080","2005","1","B2","865000","2016-11-09","415.865384615385","Staten Island","419 DARLINGTON AVENUE, Staten Island, 10309 - New York","9040","-74.1997044","40.5349348"
"6212","3182","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6873","20","NA","B2","449 DARLINGTON AVENUE"," ","10309","2","0","2","5000","2751","2008","1","B2","975000","2016-09-27","354.416575790622","Staten Island","449 DARLINGTON AVENUE, Staten Island, 10309 - New York","9041","-74.200718","40.5346589"
"6213","3183","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6874","4","NA","B2","865 EDGEGROVE AVENUE"," ","10309","2","0","2","8500","2800","1980","1","B2","93000","2016-09-28","33.2142857142857","Staten Island","865 EDGEGROVE AVENUE, Staten Island, 10309 - New York","9042","-74.2000817","40.5355917"
"6214","3186","5","HUGUENOT","02 TWO FAMILY DWELLINGS                    ","1","6881","52","NA","B2","883 LAMONT AVENUE"," ","10309","2","0","2","10000","3004","1975","1","B2","917000","2016-11-15","305.25965379494","Staten Island","883 LAMONT AVENUE, Staten Island, 10309 - New York","9043","-74.2033804","40.5362016"
"6215","3196","5","HUGUENOT","05 TAX CLASS 1 VACANT LAND                 ","1","6324","138","NA","A3","258 DOWNES AVENUE"," ","10312","1","0","1","5500","3872","2016","1","V0","470000","2016-11-21","121.384297520661","Staten Island","258 DOWNES AVENUE, Staten Island, 10312 - New York","9044","-74.1873847","40.5361933"
"6216","3201","5","HUGUENOT","21 OFFICE BUILDINGS                        ","4","6550","1","NA","O8","5405 HYLAN BOULEVARD"," ","10312","1","3","4","10400","8100","2004","4","O8","1900000","2016-09-14","234.567901234568","Staten Island","5405 HYLAN BOULEVARD, Staten Island, 10312 - New York","9045","-74.1866234","40.5241364"
"6217","3203","5","LIVINGSTON","01 ONE FAMILY DWELLINGS                    ","1","72","103","NA","A1","130 TYSEN STREET"," ","10301","1","0","1","10000","2220","1901","1","A1","740000","2016-10-18","333.333333333333","Staten Island","130 TYSEN STREET, Staten Island, 10301 - New York","9046","-74.0994311","40.6422271"
"6218","3204","5","LIVINGSTON","01 ONE FAMILY DWELLINGS                    ","1","78","32","NA","A1","21 AMELIA COURT"," ","10310","1","0","1","4500","1594","1920","1","A1","430000","2016-12-21","269.761606022585","Staten Island","21 AMELIA COURT, Staten Island, 10310 - New York","9047","-74.1072334","40.6432401"
"6219","3208","5","LIVINGSTON","01 ONE FAMILY DWELLINGS                    ","1","138","183","NA","A2","475 HENDERSON AVENUE"," ","10310","1","0","1","4950","968","1955","1","A2","515000","2016-09-29","532.02479338843","Staten Island","475 HENDERSON AVENUE, Staten Island, 10310 - New York","9048","-74.1085766","40.6385488"
"6220","3209","5","LIVINGSTON","01 ONE FAMILY DWELLINGS                    ","1","138","202","NA","A1","219 DAVIS AVENUE"," ","10310","1","0","1","3800","1304","1930","1","A1","446000","2016-09-30","342.024539877301","Staten Island","219 DAVIS AVENUE, Staten Island, 10310 - New York","9049","-74.1096719","40.6386276"
